,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
839,1959378627419861222,Mon Aug 25 22:08:02 +0000 2025,0,@AbdulRachimmks Pak @prabowo ... tolong BUBARKAN aja @DPR_RI . Rakyat ngak butuh DPR.,1960101892908003453,,AbdulRachimmks,in,,0,0,0,https://x.com/undefined/status/1960101892908003453,1805856158303031296,
840,1959986465699750089,Mon Aug 25 22:06:38 +0000 2025,3,@heheheiyuU @aldapstsr Tuntutannya juga aneh bubarkan DPR Orang yang paham demokrasi ga bakalan berani nuntut begitu bahaya.,1960101539051397272,,heheheiyuU,in,,0,0,0,https://x.com/undefined/status/1960101539051397272,1507769095152103431,
841,1960100893564801088,Mon Aug 25 22:04:04 +0000 2025,0,Ya uda bubarkan pemerintah dan dpr....gmn ?,1960100893564801088,,,in,,0,0,0,https://x.com/undefined/status/1960100893564801088,321734838,
842,1960099523591893112,Mon Aug 25 21:58:37 +0000 2025,3,Mungkin kah #bubarkandpr ..?? soekarno pernah bubarkan konstituante dgn legitimasi ketua MA wiryono projodikoro Scr teori itu kudeta tetapi HTN itu azas tertinggi keselamatan rakyat adlh hukum tertinggi dlm kondisi tertentu itu bisa demo 25 agustus di gedung DPR RI https://t.co/FPy1LUw8GQ,1960099523591893112,https://pbs.twimg.com/media/GzOsHlwW4AA5Qm6.jpg,,in,,0,0,0,https://x.com/undefined/status/1960099523591893112,1447198634726998016,
843,1959947655200825427,Mon Aug 25 21:44:32 +0000 2025,1,@virdianaurellio @DPR_RI bagusnya di bubarkan aja... selama ini DPR itu nama doang mereka TIDAK PERNAH MEWAKILI RAKYAT... dpr isi nya binatang buas yang rakus. Pak @prabowo tolong bubarkan saja DPR... gajih dan tunjangan mereka buang buang uang aja.,1960095977148404092,,virdianaurellio,in,,0,1,0,https://x.com/undefined/status/1960095977148404092,1805856158303031296,
844,1959980605510488339,Mon Aug 25 21:33:13 +0000 2025,1,@siberinfoA1 Prabowo bubarkan DPR lewat dekrit copot2 menteri2 titipan Jokowi adilu ijazah palsu Jokowi lengserkan fufufafa negara aman,1960093131590042046,,siberinfoA1,in,,0,0,0,https://x.com/undefined/status/1960093131590042046,1762005953497686016,
845,1959440305679446389,Mon Aug 25 20:20:30 +0000 2025,0,@northernseaaa Bubarkan DPR..,1960074828003828186,,northernseaaa,in,,0,0,0,https://x.com/undefined/status/1960074828003828186,1561846374265565184,
846,1959977131741422050,Mon Aug 25 20:13:43 +0000 2025,128,@qrivasi Guys mending mundur dulu dari demo itu. Ada hawa aneh di sekitar kalian. Ajak kawan2 lain mundur dulu. Chaos yang tercipta nanti menguntungkan Genk Kurap. Jangan sampai Genk Kurap berkuasa lagi. Jangan kasi nafas.. Bubarkan DPR bisa dilakukan di lain waltu,1960073122742432182,,qrivasi,in,,0,2,6,https://x.com/undefined/status/1960073122742432182,50495840,
847,1960070000670286163,Mon Aug 25 20:01:19 +0000 2025,2, 0M3K MUNCRAT https://t.co/fL88y6AlAq OM3K MUNCR4T 2 https://t.co/9VuzO01t5U Pengalihan isu arhan dan prabowo bubarkan DPR #Bitcoin #aespa #y https://t.co/oxpItcpJRM,1960070000670286163,https://pbs.twimg.com/media/GzORISIaoAAH7iR.jpg,,in,,0,0,0,https://x.com/undefined/status/1960070000670286163,1703468557391319040,
848,1960065599243202934,Mon Aug 25 19:43:49 +0000 2025,0,Yang mengatakan bubarkan DPR adalah orang yang tidak mengerti konstitusi. Terkadang orang2 di DPR itu adalah org pilihan anda sendiri yg melalui politik uang. Anda yg menanggung akibatnya selama 5 tahun kedepan.,1960065599243202934,,,in,,0,0,0,https://x.com/undefined/status/1960065599243202934,301302170,
849,1960041595396616485,Mon Aug 25 18:08:26 +0000 2025,0,Bubarkan DPR?! Disuruh lengserkan gibran gak mudeng.. Malah konspirasi sama menkeu Menaikan Gaji DPR dan Menaikan Pajak?! Terima aliran dan BI berjamaah.. Giliran mau di bubarin malah bilang Tolol??!! Kurang gimana gk biadabnya DPR?!,1960041595396616485,,,in,,0,0,0,https://x.com/undefined/status/1960041595396616485,1849229055838859264,
850,1960040091424051399,Mon Aug 25 18:02:28 +0000 2025,1,Trending Topic Tembus 10 2K posts #DesakPrabowoBubarkanDPR #DesakPrabowoBubarkanDPR Seruan Demo Bubarkan DPR Beredar di Masyarakat Rakyat sangat muak dan jijik kelakuan Anggota dewan yg joget2 ala PKI haramjadah dan gaji yg selangit padahal rakyat susaaah banget cari uang¹ https://t.co/PwDJ80E1EV,1960040091424051399,https://pbs.twimg.com/media/GzN2E2qasAAxf1-.jpg,,in,,0,0,1,https://x.com/undefined/status/1960040091424051399,1782463133573070848,
851,1959828396114104370,Mon Aug 25 17:55:11 +0000 2025,0,@Mdy_Asmara1701 melukai hati.. DPR bubarkan !! Uang haram smua kalian makan. Rakyat Tdk pernah mewakilkan kalian. Asssyuuu beban Negara!! rakyat klaparan!!,1960038258630689276,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1960038258630689276,1127549541404700672,
852,1959440305679446389,Mon Aug 25 17:54:17 +0000 2025,0,@northernseaaa Bubarkan dpr turun kan prabowo gibran,1960038033237159988,,northernseaaa,in,,0,0,0,https://x.com/undefined/status/1960038033237159988,1772870402613927936,
853,1959863304802959389,Mon Aug 25 17:48:00 +0000 2025,0,@suaradotcom Gapenting ngentot BUBARKAN DPR!,1960036449790910797,,suaradotcom,in,,0,0,0,https://x.com/undefined/status/1960036449790910797,1558483942868586496,
